
2024/01/20 (13:48:12) | ===> btop++ v.1.2.13
2024/01/20 (13:48:12) | ERROR: Stall in Runner thread, restarting!

2024/04/12 (22:50:30) | ===> btop++ v.1.3.2
2024/04/12 (22:50:31) | ERROR: Stall in Runner thread, restarting!

2024/10/09 (14:39:02) | ===> btop++ v.1.4.0
2024/10/09 (14:39:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (14:40:22) | ===> btop++ v.1.4.0
2024/10/09 (14:40:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (18:30:02) | ===> btop++ v.1.4.0
2024/10/13 (18:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:38:47) | ===> btop++ v.1.4.0
2024/10/14 (13:38:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:39:21) | ===> btop++ v.1.4.0
2024/11/12 (16:39:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:40:03) | ===> btop++ v.1.4.0
2024/11/12 (16:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:40:39) | ===> btop++ v.1.4.0
2024/11/12 (16:40:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:52:29) | ===> btop++ v.1.4.0
2024/11/12 (16:52:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:52:39) | ===> btop++ v.1.4.0
2024/11/12 (16:52:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (00:47:07) | ===> btop++ v.1.4.0
2024/11/17 (00:47:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:23:38) | ===> btop++ v.1.4.0
2024/11/28 (14:23:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (23:54:11) | ===> btop++ v.1.4.0
2024/12/03 (23:54:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (23:15:12) | ===> btop++ v.1.4.0
2024/12/08 (23:15:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (23:37:26) | ===> btop++ v.1.4.0
2024/12/08 (23:37:26) | WARNING: Intel GPU: Failed to initialize PMU
